filename	system	Rules-Unknown-words	Rules-Rhyming	Rules-Metre	syllable_count_entropy	rhyming_consistency	ChatGPT-Semantics	ChatGPT-Syntax	ChatGPT-Rhyming	GPT-Language	ChatGPT-Metre	Human-Syntax	Human-Semantics	Human-Rhyming	Human-Metre	Human-Unk-Words	Human-Overall-Imp
poems/poem_1.txt	tm4	0.037037037037037035	1.0	0.8817867139725717	0.0	1.0	0.8	0.8	0.8	0.8	0.7	8	6	10	8	9	7
poems/poem_2.txt	ccv	0.0	1.0	0.8716550558846997	1.0	1.0	0.8	0.9	0.8	0.9	0.8	10	10	10	8	10	10
poems/poem_3.txt	tm16_40000	0.06329113924050633	1.0	0.7618984716761006	0.0	1.0	0.6	0.7	0.7	0.7	0.6	7	5	9	7	8	6
poems/poem_4.txt	chatgpt	0.0	0.3333333333333333	0.5972792378917801	2.3553885422075336	0.6666666666666666	0.8	0.8	0.8	0.8	0.8	10	10	8	7	10	9
poems/poem_5.txt	tm16_7500	0.05660377358490566	0.875	0.7213769985275575	1.4056390622295665	0.5	0.6	0.6	0.4	0.6	0.5	7	3	10	6	8	5
poems/poem_6.txt	tm16_40000	0.03488372093023256	0.8333333333333334	0.7169771602417847	0.6500224216483541	0.5	0.6	0.7	0.6	0.7	0.6	6	7	7	6	7	6
poems/poem_7.txt	tm16_7500	0.0	0.0	0.7065639664360427	1.0	1.0	0.8	0.8	0.7	0.8	0.7	7	6	5	8	10	7
poems/poem_8.txt	chatgpt	0.0	0.25	0.38869087997998797	1.4056390622295665	0.5	0.8	0.8	0.8	0.8	0.8	8	8	7	7	10	8
poems/poem_9.txt	ccv	0.010752688172043012	1.0	0.7889965181333383	0.5916727785823275	0.5	0.8	0.9	0.8	0.9	0.8	9	8	10	8	10	9
poems/poem_10.txt	tm4	0.05263157894736842	0.75	0.7319770362693137	0.954434002924965	1.0	0.7	0.6	0.6	0.7	0.7	5	4	6	7	5	5
poems/poem_11.txt	chatgpt	0.0	0.5	0.5161814504085082	0.8112781244591328	1.0	0.8	0.8	0.8	0.8	0.8	10	9	8	9	10	9
poems/poem_12.txt	tm4	0.05921052631578947	0.875	0.6766546922796705	0.8683927290103626	0.5	0.7	0.4	0.5	0.7	0.6	5	4	7	6	7	5
poems/poem_13.txt	tm16_7500	0.0	1.0	0.8886328104322628	0.0	1.0	0.8	0.8	0.7	0.8	0.7	9	9	10	9	10	9
poems/poem_14.txt	ccv	0.0449438202247191	1.0	0.8724317913755387	0.37123232664087563	0.5	0.8	0.9	0.8	0.8	0.8	9	9	10	8	9	8
poems/poem_15.txt	ccv	0.046875	0.8333333333333334	0.8072850367561113	1.0	0.6666666666666666	0.8	0.8	0.7	0.8	0.8	10	8	10	9	9	8
poems/poem_16.txt	tm4	0.01818181818181818	0.75	0.7167846660234274	1.0	0.5	0.7	0.8	0.7	0.7	0.7	6	6	9	6	8	6
poems/poem_17.txt	tm16_7500	0.12345679012345678	0.8125	0.6907540634573345	0.8960382325345574	0.5	0.4	0.6	0.4	0.4	0.4	8	4	7	6	6	6
poems/poem_18.txt	tm16_7500	0.0	0.5	0.6241649832859111	1.2987949406953985	1.0	0.8	0.7	0.7	0.8	0.8	6	6	5	7	9	5
poems/poem_19.txt	tm4	0.08888888888888889	0.5	0.6947119713832804	1.0	1.0	0.7	0.7	0.6	0.6	0.6	6	4	5	6	6	5
